"title","continent","year_of_publication","pro_endpoint","qol_endpoint","physician_endpoint","physiological_endpoint","holter_endpoint","blinding_binary","decade","log_n","treatment_type","physiological_combined"
"Efficacy and safety of perhexiline maleate in refractory angina. A double-blind placebo-controlled clinical trial of a novel antianginal agent.","North America",1990,1,1,0,1,0,"blinded","1990s",2.89037175789616,"pharmacological",1
"Effects of the cardioselective beta-blocker metoprolol in angina pectoris. A subacute study with exercise tests.","Europe",1975,1,0,0,1,0,"blinded","1970s",2.70805020110221,"pharmacological",1
"Quality of life after on-pump and off-pump coronary artery bypass grafting surgery.","South America",2008,0,1,0,0,0,NA,"2000s",5.53338948872752,"interventional",0
"Double-blind, randomized, placebo-controlled study of molsidomine in patients with stable effort angina receiving beta-blocker therapy with atenolol.","Europe",1985,0,0,0,1,0,"blinded","1980s",2.56494935746154,"pharmacological",1
"[Comparison of nisoldipine and diltiazem in the treatment of effort angina pectoris].","Europe",1994,1,0,0,1,0,"blinded","1990s",3.04452243772342,"pharmacological",1
"A double-blind comparison of the long-term efficacy of a potassium channel opener and a calcium antagonist in stable angina pectoris.","Europe",1993,1,0,0,1,0,"blinded","1990s",4.82028156560504,"pharmacological",1
"Inorganic Nitrate in Angina Study: A Randomized Double-Blind Placebo-Controlled Trial.","Europe",2017,0,0,0,1,0,"blinded","2010-2026",4.26267987704132,"pharmacological",1
"Physical training after percutaneous coronary intervention in patients with stable angina: effects on working capacity, metabolism, and markers of inflammation.","Europe",2010,0,1,0,1,0,"unblinded","2010-2026",4.14313472639153,"other",1
"Exercise capacity after single and twice-daily doses of nicorandil in chronic stable angina pectoris.","Europe",1989,1,0,0,1,0,"blinded","1980s",3.85014760171006,"pharmacological",1
"Felodipine in chronic stable angina: a randomized, double-blind, placebo-controlled, crossover study.","Europe",1990,1,0,0,1,0,"blinded","1990s",3.04452243772342,"pharmacological",1
"Comparison between felodipine and isosorbide mononitrate as adjunct to beta blockade in patients > 65 years of age with angina pectoris.","Europe",1994,0,0,0,1,0,"blinded","1990s",3.85014760171006,"pharmacological",1
"Efficacy, safety and duration of nitrate-free interval to prevent tolerance to transdermal nitroglycerin in effort angina.","Australia",1992,0,0,0,1,0,"blinded","1990s",2.70805020110221,"pharmacological",1
"[The efficacy and safety of the combination of _-blocker bisoprolol and if inhibitor I(f) ivabradine in patients with stable angina and chronic obstructive pulmonary disease].","Europe",2010,1,1,0,0,0,NA,"2010-2026",3.93182563272433,"pharmacological",0
"Attenuation of anti-ischemic efficacy during chronic therapy with nicorandil in patients with stable angina pectoris.","Australia",1999,0,0,0,1,0,"blinded","1990s",3.2188758248682,"pharmacological",1
"A comparison of angioplasty with medical therapy in the treatment of single-vessel coronary artery disease. Veterans Affairs ACME Investigators.","North America",1992,1,0,0,1,0,"unblinded","1990s",5.36129216570943,"interventional",1
"Acupuncture in severe, stable angina pectoris: a randomized trial.","Europe",1986,1,1,0,1,0,"blinded","1980s",3.29583686600433,"other",1
"Effect of acupuncture in patients with angina pectoris.","Europe",1991,1,1,0,1,0,"unblinded","1990s",3.29583686600433,"other",1
"Hemodynamic interactions of a new beta blocker, celiprolol, with nifedipine in angina pectoris.","Europe",1991,0,0,0,1,0,NA,"1990s",3.43398720448515,"pharmacological",1
"Trimetazidine in Angina Combination Therapy--the TACT study: trimetazidine versus conventional treatment in patients with stable angina pectoris in a randomized, placebo-controlled, multicenter study.","Europe",2005,1,0,0,1,0,"blinded","2000s",5.18178355029209,"pharmacological",1
"A randomized multicentre trial to compare revascularization with optimal medical therapy for the treatment of chronic total coronary occlusions.","Europe",2018,0,1,0,0,0,"unblinded","2010-2026",5.98393628068719,"interventional",0
"A prospective, multicenter, randomized trial of percutaneous transmyocardial laser revascularization in patients with nonrecanalizable chronic total occlusions.","North America",2002,0,0,0,1,0,"blinded","2000s",4.95582705760126,"interventional",1
"The treatment of angina pectoris with the new beta-receptor blocker carteolol. Results of a controlled trial in comparison with pindolol.","Europe",1983,0,0,0,1,0,"blinded","1980s",3.71357206670431,"pharmacological",1
"Randomized trial of a medical food for the dietary management of chronic, stable angina.","North America",2002,0,0,0,1,0,"blinded","2000s",3.61091791264422,"pharmacological",1
"Transmyocardial laser revascularisation compared with continued medical therapy for treatment of refractory angina pectoris: a prospective randomised trial. ATLANTIC Investigators. Angina Treatments-Lasers and Normal Therapies in Comparison.","North America",1999,0,0,0,1,0,"unblinded","1990s",5.20948615284142,"interventional",1
"Effects of acupuncture in moderate, stable angina pectoris: a controlled study.","Europe",1990,1,1,0,1,0,"blinded","1990s",3.91202300542815,"other",1
"Anti-anginal and anti-ischemic effects of the selective beta-blocker talinolol in patients with stable angina pectoris.","Europe",2005,0,0,0,1,0,"blinded","2000s",5.48893772615669,"pharmacological",1
"Effect of nicorandil on exercise performance in patients with effort angina: a multicenter trial using a treadmill exercise test.","Asia",1987,0,0,0,1,0,"blinded","1980s",3.40119738166216,"pharmacological",1
"Monotherapy with amlodipine or atenolol versus their combination in stable angina pectoris.","Europe",2000,0,0,0,1,0,"blinded","2000s",5.8636311755981,"pharmacological",1
"Usefulness of PY 108-068, a new calcium channel blocker, for angina pectoris.","Europe",1986,1,0,0,1,1,"blinded","1980s",2.56494935746154,"pharmacological",1
"Comparison of transmyocardial revascularization with medical therapy in patients with refractory angina.","North America",1999,0,0,1,0,0,"unblinded","1990s",5.62040086571715,"interventional",0
"Efficacy of controlled-release isosorbide-5-mononitrate as adjunctive treatment to beta-blocking agents in patients with stable angina pectoris.","Europe",1989,1,0,0,1,0,"blinded","1980s",3.2188758248682,"pharmacological",1
"Short- and long-term treatment of stable effort angina with nicardipine, a new calcium channel blocker: a double-blind, placebo-controlled, randomised, repeated cross-over study.","North America",1985,1,0,0,1,0,"blinded","1980s",3.66356164612965,"pharmacological",1
"Intramyocardial transplantation of autologous CD34+ stem cells for intractable angina: a phase I/IIa double-blind, randomized controlled trial.","North America",2007,1,1,1,1,0,"blinded","2000s",3.2188758248682,"pharmacological",1
"Efficacy and safety of fasudil in patients with stable angina: a double-blind, placebo-controlled, phase 2 trial.","North America",2005,0,0,0,1,0,"blinded","2000s",4.44265125649032,"pharmacological",1
"Medical treatment of patients with severe exertional and rest angina: double blind comparison of beta blocker, calcium antagonist, and nitrate.","Europe",1987,1,0,0,1,1,"blinded","1980s",2.30258509299405,"pharmacological",1
