"title","continent","year_of_publication","pro_endpoint","qol_endpoint","physician_endpoint","physiological_endpoint","holter_endpoint","blinding_binary","decade","log_n","treatment_type","physiological_combined"
"Randomized double-blind comparison of nifedipine and isosorbide dinitrate therapy in variant angina pectoris due to coronary artery spasm.","North America",1982,1,0,0,0,0,"blinded","1980s",2.56494935746154,"pharmacological",0
"[Propranolol-nifedipine combination in the treatment of exercise-induced asthma].","Europe",1983,0,0,1,1,0,"blinded","1980s",2.39789527279837,"pharmacological",1
"Efficacy of conventional and sustained-release verapamil in stable angina pectoris.","Europe",1992,1,0,1,1,0,"blinded","1990s",3.04452243772342,"pharmacological",1
"Sustained antianginal efficacy of transdermal nitroglycerin patches using an overnight 10-hour nitrate-free interval.","North America",1988,1,0,0,1,1,"blinded","1980s",2.63905732961526,"pharmacological",1
"Lack of effect of asymmetrical dosage timing of isosorbide-5-mononitrate on nitrate tolerance during long-term administration.","Europe",1989,1,0,0,1,0,"blinded","1980s",2.99573227355399,"pharmacological",1
"[Long-term effect of various nitrates in ischemic heart disease and latent heart failure].","Europe",1989,1,0,0,1,0,NA,"1980s",3.2188758248682,"pharmacological",1
"The effect of supplemental L-arginine on tolerance development during continuous transdermal nitroglycerin therapy.","North America",2002,0,0,0,1,0,"blinded","2000s",2.70805020110221,"pharmacological",1
"Antianginal response to once-daily diltiazem CD in patients receiving concomitant beta-blockers, long-acting nitrates, or both. Diltiazem CD Study Group.","North America",1997,0,0,0,1,0,"blinded","1990s",5.15329159449778,"pharmacological",1
"The antianginal efficacy of isosorbide dinitrate therapy is maintained during diuretic treatment.","North America",1994,0,0,0,1,0,"blinded","1990s",2.39789527279837,"pharmacological",1
"Nitrate cross-tolerance: effect of sublingual isosorbide dinitrate and nitroglycerin during sustained nitrate therapy.","North America",1984,0,0,0,1,0,"blinded","1980s",2.39789527279837,"pharmacological",1
"A new isosorbide dinitrate extended-release formulation: pharmacokinetic and clinical parameters in patients with stable angina pectoris.","Europe",1994,0,0,0,1,0,"blinded","1990s",2.30258509299405,"pharmacological",1
"Comparison of effects of nisoldipine-extended release and amlodipine in patients with systemic hypertension and chronic stable angina pectoris.","North America",2003,0,0,0,1,0,"blinded","2000s",4.79579054559674,"pharmacological",1
"Efficacy of anti-anginal drugs in the treatment of angina pectoris associated with silent myocardial ischemia: importance of quantitative Holter ECG data for patient activity.","Asia",2000,0,0,0,0,1,"blinded","2000s",3.3322045101752,"pharmacological",1
"Evaluation of the antianginal and anti-ischemic efficacy of slow-release isosorbide-5-mononitrate capsules, bupranolol and their combination, in patients with chronic stable angina pectoris.","Europe",1991,1,0,0,1,0,"blinded","1990s",3.43398720448515,"pharmacological",1
"The VIVA trial: Vascular endothelial growth factor in Ischemia for Vascular Angiogenesis.","North America",2003,0,0,0,1,0,"blinded","2000s",5.18738580584075,"pharmacological",1
"The effect of vardenafil, a potent and highly selective phosphodiesterase-5 inhibitor for the treatment of erectile dysfunction, on the cardiovascular response to exercise in patients with coronary artery disease.","North America",2002,0,0,0,1,0,"blinded","2000s",3.73766961828337,"pharmacological",1
"Intermittent transdermal nitroglycerin therapy in angina pectoris. Clinically effective without tolerance or rebound. Minitran Efficacy Study Group.","North America",1995,0,0,0,1,0,"blinded","1990s",5.67675380226828,"pharmacological",1
"Efficacy of diltiazem for control of symptoms of coronary arterial spasm.","North America",1980,1,0,0,0,0,"blinded","1980s",2.63905732961526,"pharmacological",0
"[Verapamil versus propranolol in stable effort angina. Randomized, crossed, double-blind study].","Europe",1988,0,0,0,1,0,"blinded","1980s",2.83321334405622,"pharmacological",1
"[The relation between myocardial oxygen consumption and ischemia during exertion in patients with angina pectoris: effect of propranolol].","Europe",1985,0,0,0,1,0,"blinded","1980s",2.70805020110221,"pharmacological",1
"Efficacy of the long-acting nitro vasodilator pentaerithrityl tetranitrate in patients with chronic stable angina pectoris receiving anti-anginal background therapy with beta-blockers: a 12-week, randomized, double-blind, placebo-controlled trial.","Europe",2014,0,0,0,1,0,"blinded","2010-2026",6.48616078894409,"pharmacological",1
"Comparison of adrenergic beta-receptor antagonists in angina pectoris.","Europe",1973,0,0,0,1,0,"blinded","1970s",2.83321334405622,"pharmacological",1
"Acebultolol: basis for the prediction of effect on exercise tolerance.","North America",1976,0,0,0,1,0,"blinded","1970s",2.56494935746154,"pharmacological",1
"The Effectiveness and Cost-Effectiveness of Spinal Cord Stimulation for Refractory Angina (RASCAL Study): A Pilot Randomized Controlled Trial.","Europe",2016,0,1,0,0,0,"unblinded","2010-2026",3.40119738166216,"interventional",0
"[Extent of therapeutic effect and duration of 1 capsule of 120 mg isosorbide dinitrate in a slow release form].","Europe",1989,1,0,0,1,0,"blinded","1980s",2.94443897916644,"pharmacological",1
"A new clinical taxonomy for rating change in functional activities of patients with angina pectoris.","North America",1977,0,1,0,0,0,"blinded","1970s",5.73657229747919,"pharmacological",0
"Comparison of diltiazem and nifedipine for both angina pectoris and systemic hypertension.","North America",1985,1,0,0,1,0,"blinded","1980s",2.39789527279837,"pharmacological",1
"Discordance of anti-ischemic and hemodynamic effects of captopril in stable coronary artery disease.","Europe",1994,0,0,0,1,0,"blinded","1990s",3.63758615972639,"pharmacological",1
"[4 different nitrate preparations with regard to the possible development of tolerance in long-term treatment].","Europe",1985,1,0,0,1,0,NA,"1980s",3.49650756146648,"pharmacological",1
"Trimetazidine added to combined hemodynamic antianginal therapy in patients with type 2 diabetes: a randomized crossover trial.","South America",2007,0,0,0,1,0,"blinded","2000s",2.39789527279837,"pharmacological",1
"Effects of atenolol, slow-release nifedipine, and their combination on respiratory gas exchange and exercise tolerance in stable effort angina.","Europe",1991,0,0,0,1,0,"unblinded","1990s",3.61091791264422,"pharmacological",1
"Effects of a transdermal patch system containing nitroglycerin on exercise tolerance in patients with angina pectoris. Double-blind, placebo controlled, comparison with slow-release nifedipine and verapamil.","Europe",1986,0,0,0,1,0,"blinded","1980s",2.19722457733622,"pharmacological",1
"[Prevention of myocardial ischemia during exercise 8 hours after use of transdermal nitrate derivatives].","Europe",1986,0,0,0,1,0,"blinded","1980s",2.94443897916644,"pharmacological",1
"Comparison of the effect of isosorbide-5-mononitrate and isosorbide dinitrate in a slow-release form on exercise-induced myocardial ischemia.","Europe",1991,0,0,0,1,0,"blinded","1990s",3.04452243772342,"pharmacological",1
"Pharmacological treatment of coronary artery disease with recombinant fibroblast growth factor-2: double-blind, randomized, controlled clinical trial.","North America",2002,0,0,0,1,0,"blinded","2000s",5.82304589548302,"pharmacological",1
"Combined acebutolol/nifedipine therapy in patients with chronic coronary artery disease: additional improvement of ischemia-induced left ventricular dysfunction.","Europe",1982,1,0,0,1,0,NA,"1980s",3.09104245335832,"pharmacological",1
"The antianginal efficacy and tolerability of controlled-release metoprolol once daily: a comparison with conventional metoprolol tablets twice daily.","Europe",1988,1,0,0,1,0,"blinded","1980s",4.75359019110636,"pharmacological",1
"Effects of dosing intervals on the development of tolerance to high dose transdermal nitroglycerin.","North America",1989,0,0,0,0,1,"blinded","1980s",2.70805020110221,"pharmacological",1
"Coronary bypass surgery in stable angina pectoris. A randomized study of the effects on morbidity, mortality and employment.","Europe",1985,0,0,1,1,0,"unblinded","1980s",4.61512051684126,"interventional",1
"Endurance testing for evaluation of antianginal therapy with amlodipine, a calcium channel blocking agent.","North America",1988,1,0,0,1,0,"blinded","1980s",2.83321334405622,"pharmacological",1
"Antianginal efficacy of long-term nitrate therapy.","Europe",1983,1,0,0,1,0,"blinded","1980s",3.71357206670431,"pharmacological",1
"Differential antianginal responsiveness to acebutolol.","North America",1975,0,0,0,1,0,"blinded","1970s",1.94591014905531,"pharmacological",1
"[PLacebo-controlled double blind study of the anti-ischemic efficacy of transdermal depot nitrate].","Europe",1986,0,0,0,1,0,"blinded","1980s",2.56494935746154,"pharmacological",1
"Acute and chronic antianginal efficacy of continuous twenty-four-hour application of transdermal nitroglycerin. Steering Committee, Transdermal Nitroglycerin Cooperative Study.","North America",1991,1,0,0,1,0,"blinded","1990s",6.33327962813969,"pharmacological",1
"Nebivolol therapy improves endothelial function and increases exercise tolerance in patients with cardiac syndrome X.","Asia",2009,0,0,1,1,0,"blinded","2000s",3.66356164612965,"pharmacological",1
"Persistent improvement after coronary bypass surgery: ergometric and angiographic correlations at 5 years.","Europe",1983,0,0,0,1,0,"unblinded","1980s",4.61512051684126,"interventional",1
"Comparison of the effects of trimetazidine and diltiazem on exercise performance in patients with coronary heart disease. The Turkish trimetazidine study (TTS).","Asia",2004,0,0,0,1,0,"blinded","2000s",4.76217393479776,"pharmacological",1
"Hemodynamic, anti-ischemic, and neurohumoral effects of slow-release isosorbide-5-mononitrate in patients with coronary artery disease after short- and long-term therapy.","Europe",1991,0,0,0,1,0,"blinded","1990s",3.04452243772342,"pharmacological",1
"[Therapeutic coronary effectiveness of retard gallopamil following repeated administration in comparison with placebo].","Europe",1989,1,0,0,1,0,"blinded","1980s",2.83321334405622,"pharmacological",1
"[Treatment of ischemic heart disease in the elderly. Comparison of diltiazem, verapamil and gallopamil].","Europe",1993,1,0,0,1,0,"blinded","1990s",4.85203026391962,"pharmacological",1
"Effect of nifedipine on total ischemic activity and circadian distribution of myocardial ischemic episodes in angina pectoris.","North America",1991,0,0,0,1,1,"blinded","1990s",2.39789527279837,"pharmacological",1
"Chelation therapy for ischemic heart disease: a randomized controlled trial.","North America",2002,0,0,0,1,0,"blinded","2000s",4.44265125649032,"other",1
"New transdermal and transmucosal nitroglycerin delivery systems in patients with ischaemic heart disease.","Europe",1987,0,0,0,1,0,"unblinded","1980s",2.30258509299405,"pharmacological",1
"Antiischaemic effects of phasic release nitroglycerin system during acute and sustained therapy.","Europe",1989,0,0,0,1,0,"blinded","1980s",3.71357206670431,"pharmacological",1
"[Comparison of the anti-ischemia effect of nisoldipine and verapamil. Double-blind randomized cross-over and placebo-controlled acute and long-term study].","Europe",1984,1,0,0,1,0,"blinded","1980s",2.56494935746154,"pharmacological",1
"[Development of tolerance with regard to the anti-ischemic effect of isosorbide dinitrate in regular multiple daily administration].","Europe",1984,0,0,0,1,0,"blinded","1980s",2.484906649788,"pharmacological",1
"Effects of secondary prevention clinics on health status in patients with coronary heart disease: 4 year follow-up of a randomized trial in primary care.","Europe",2004,0,1,0,0,0,"unblinded","2000s",7.2034055210831,"other",0
"One-year results of percutaneous myocardial revascularization for refractory angina pectoris.","North America",2003,0,0,0,1,0,"unblinded","2000s",5.44241771052179,"interventional",1
"[Acute and subchronic effect of a patch with discontinuous nitroglycerin liberation]","Europe",1989,0,0,0,1,0,"blinded","1980s",2.56494935746154,"pharmacological",1
"[Plasma volume expansion may explain the attenuation of antianginal activity of oral isosorbide dinitrate in long-term therapy].","Europe",1999,0,0,0,1,0,"blinded","1990s",3.66356164612965,"pharmacological",1
"Sustained-release IS-5-MN in the treatment of coronary heart disease.","Europe",1991,1,0,0,1,0,"blinded","1990s",3.36729582998647,"pharmacological",1
"Antianginal and anti-ischemic efficacy of nicorandil in comparison with isosorbide-5-mononitrate and isosorbide dinitrate: results from two multicenter, double-blind, randomized studies with stable coronary heart disease patients.","Europe",1992,0,0,0,1,0,"blinded","1990s",4.20469261939097,"pharmacological",1
"Treatment of chronic angina pectoris with combination mibefradil and beta-blocker therapy.","North America",1998,1,0,0,1,0,"blinded","1990s",4.55387689160054,"pharmacological",1
"Microvascular Assessment of Ranolazine in Non-Obstructive Atherosclerosis: The MARINA Randomized, Double-Blinded, Controlled Pilot Trial","North America",2020,0,1,0,0,0,"blinded","2010-2026",3.29583686600433,"pharmacological",0
"Nurse-led psychological intervention reduces anxiety symptoms and improves quality of life following percutaneous coronary intervention for stable coronary artery disease","Asia",2020,0,1,0,0,0,"unblinded","2010-2026",4.39444915467244,"other",0
"Effects of a Cardiac Rehabilitation Program Versus Usual Care on Cardiopulmonary Function in Patients With Cardiac Syndrome X","Asia",2020,0,0,0,1,0,"unblinded","2010-2026",3.43398720448515,"other",1
"Randomized Controlled Comparison of Optimal Medical Therapy with Percutaneous Recanalization of Chronic Total Occlusion (COMET-CTO)","Europe",2021,0,1,0,0,0,"unblinded","2010-2026",4.61512051684126,"interventional",0
"Safety and Efficacy of Exercise-based Cardiac Rehabilitation in Patients with Refractory Angina. [Portuguese, English]","South America",2025,1,0,1,0,0,"blinded","2010-2026",3.8286413964891,"other",0
"Ranolazine effectively improves clinical symptoms in patients with slow flow coronary arteries: a randomized, double-blind, placebo-controlled clinical trial.","Asia",2025,0,1,0,0,0,"blinded","2010-2026",3.80666248977032,"pharmacological",0
"Efficacy and safety of yangxinshi versus trimetazidine on exercise tolerance in patients with coronary heart disease after percutaneous coronary intervention: Multicenter, double-blind clinical trial.","Asia",2024,0,0,0,1,0,"blinded","2010-2026",6.52502965784346,"other",1
"N-of-1 Trial of Angina Verification Before Percutaneous Coronary Intervention.","Europe",2024,1,0,0,0,0,"blinded","2010-2026",3.95124371858143,"interventional",0
"ChaMP-CMD: A Phenotype-Blinded, Randomized Controlled, Cross-Over Trial.","Europe",2023,0,0,0,1,0,"blinded","2010-2026",4.47733681447821,"pharmacological",1
"A Placebo-Controlled Trial of Percutaneous Coronary Intervention for Stable Angina.","Europe",2023,0,1,0,0,0,"blinded","2010-2026",5.71042701737487,"interventional",0
"Effectiveness of Shenshu Guanxin recipe granules for improving exercise tolerance in patients with stable angina pectoris: a randomized, double-blind, placebo-controlled trial.","Asia",2023,0,0,0,1,0,"blinded","2010-2026",5.24702407216049,"other",1
"A randomized, double-blind, placebo-controlled pilot trial of low-intensity pulsed ultrasound therapy for refractory angina pectoris.","Asia",2023,1,0,0,0,0,"blinded","2010-2026",4.04305126783455,"interventional",0
"Guanxin Danshen Dripping Pills Improve Quality of Life and Cardiovascular Prognoses of CHD Patients after PCI with Anxiety or Depression (GLAD Study): A Randomized Double-Blind Placebo-Controlled Study.","Asia",2022,0,1,0,0,0,"blinded","2010-2026",5.30330490805908,"other",0
"Feasibility and preliminary efficacy of acupuncture for angina in an underserved diverse population.","North America",2022,0,1,0,0,0,"unblinded","2010-2026",3.2188758248682,"other",0
"Health-Related Quality of Life and Angina in Fractional Flow Reserve- Versus Angiography-Guided Coronary Artery Bypass Grafting: FARGO Trial (Fractional Flow Reserve Versus Angiography Randomization for Graft Optimization).","Europe",2021,0,1,0,0,0,"blinded","2010-2026",4.61512051684126,"interventional",0
"Randomized Controlled Comparison of Optimal Medical Therapy with Percutaneous Recanalization of Chronic Total Occlusion (COMET-CTO).","Europe",2021,0,1,0,0,0,"unblinded","2010-2026",4.61512051684126,"interventional",0
